Feature,Importance
numerical__sleep_duration,0.30826030952019967
categorical__stress_level_high,0.18563107235553855
categorical__stress_level_low,0.15205749233019406
categorical__physical_activity_level_active,0.11616159192555345
categorical__stress_level_medium,0.07085852283125642
numerical__bmi,0.03466974527198685
categorical__physical_activity_level_sedentary,0.03238584765775924
categorical__physical_activity_level_moderate,0.02192986184289129
numerical__step_count,0.019011552596850317
numerical__exercise_duration,0.01874877775866204
categorical__sleep_quality_good,0.010109869570388173
categorical__sleep_quality_poor,0.006104949846447215
categorical__smoking_alcohol_occasional,0.0051447734191381305
categorical__smoking_alcohol_no,0.004263184872452684
categorical__smoking_alcohol_yes,0.0038819920186622657
numerical__calorie_expenditure,0.0030757414715007194
numerical__heart_rate,0.0024621674021503425
numerical__water_intake,0.00231962331289177
categorical__sleep_quality_average,0.0013236957136743624
categorical__diet_type_non-veg,0.00030733991363025913
categorical__gender_male,0.00028433567974090027
categorical__diet_type_balanced,0.00026782423536408467
categorical__gender_other,0.0002658175713457683
categorical__diet_type_veg,0.0002504702529455246
categorical__gender_female,0.00022344062877587714
