Feature,Importance
categorical__stress_level_low,0.23417155
categorical__stress_level_medium,0.19066289
categorical__physical_activity_level_active,0.14408463
categorical__stress_level_high,0.12230134
numerical__sleep_duration,0.09672574
categorical__physical_activity_level_sedentary,0.068597145
categorical__physical_activity_level_moderate,0.06036211
categorical__smoking_alcohol_occasional,0.029239431
categorical__sleep_quality_good,0.013276894
numerical__bmi,0.0065883333
numerical__exercise_duration,0.005705768
numerical__step_count,0.0051039276
categorical__sleep_quality_poor,0.0038743357
categorical__smoking_alcohol_no,0.0036323648
categorical__smoking_alcohol_yes,0.0032554239
categorical__sleep_quality_average,0.0026704834
categorical__gender_male,0.001739232
categorical__gender_other,0.0013094933
categorical__diet_type_non-veg,0.0013074031
numerical__water_intake,0.0012085283
numerical__heart_rate,0.0010944314
categorical__gender_female,0.00090768555
numerical__calorie_expenditure,0.00089920993
categorical__diet_type_balanced,0.00068339
categorical__diet_type_veg,0.00059824827
